=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 16 x 16 ==========
=============== Com Data Augmentation no Treino ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 1.00      | 0.99      | 0.99      | 650      
1       | 0.96      | 0.99      | 0.97      | 200      
2       | 0.88      | 0.97      | 0.92      | 70       
3       | 0.95      | 0.94      | 0.94      | 300      
4       | 0.96      | 0.95      | 0.96      | 330      
5       | 0.93      | 0.91      | 0.92      | 80       
6       | 0.97      | 0.93      | 0.95      | 60       
7       | 1.00      | 1.00      | 1.00      | 130      
8       | 0.57      | 0.50      | 0.51      | 20       
9       | 0.97      | 0.95      | 0.96      | 730      
10      | 0.90      | 0.91      | 0.91      | 70       
11      | 0.99      | 1.00      | 0.99      | 190      
12      | 0.80      | 0.92      | 0.86      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.97      | 0.98      | 0.97      | 740      
15      | 0.96      | 0.95      | 0.95      | 410      
16      | 0.99      | 0.96      | 0.97      | 440      
17      | 0.96      | 0.94      | 0.95      | 70       
18      | 0.95      | 0.99      | 0.97      | 250      
19      | 0.89      | 0.85      | 0.86      | 40       
20      | 0.98      | 0.97      | 0.97      | 160      
21      | 0.98      | 0.89      | 0.93      | 170      
22      | 0.91      | 0.88      | 0.89      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 1.00      | 1.00      | 1.00      | 100      
