=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9793
Precisao media : 0.9740
Revocacao media: 0.9719
F1-Score medio : 0.9695

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 32 x 32 ==========
=============== Com Data Augmentation no Treino ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 1.00      | 1.00      | 1.00      | 650      
1       | 0.99      | 1.00      | 1.00      | 200      
2       | 0.93      | 1.00      | 0.96      | 70       
3       | 0.99      | 0.95      | 0.97      | 300      
4       | 0.98      | 0.98      | 0.98      | 330      
5       | 0.91      | 1.00      | 0.95      | 80       
6       | 1.00      | 0.95      | 0.97      | 60       
7       | 1.00      | 1.00      | 1.00      | 130      
8       | 1.00      | 0.65      | 0.77      | 20       
9       | 1.00      | 0.93      | 0.97      | 730      
10      | 0.93      | 0.97      | 0.95      | 70       
11      | 1.00      | 1.00      | 1.00      | 190      
12      | 0.86      | 0.99      | 0.92      | 190      
13      | 1.00      | 0.99      | 0.99      | 100      
14      | 0.98      | 0.99      | 0.99      | 740      
15      | 0.98      | 0.99      | 0.98      | 410      
16      | 1.00      | 0.98      | 0.99      | 440      
17      | 0.95      | 0.99      | 0.97      | 70       
18      | 0.94      | 1.00      | 0.97      | 250      
19      | 1.00      | 1.00      | 1.00      | 40       
20      | 1.00      | 0.99      | 1.00      | 160      
21      | 0.97      | 0.98      | 0.98      | 170      
22      | 0.95      | 0.96      | 0.95      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 0.97      | 1.00      | 0.99      | 100      
