=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9434
Precisao media : 0.9139
Revocacao media: 0.8620
F1-Score medio : 0.8801

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 32 x 32 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.98      | 0.99      | 0.98      | 650      
1       | 0.89      | 0.96      | 0.93      | 200      
2       | 0.96      | 0.81      | 0.87      | 70       
3       | 0.97      | 0.95      | 0.96      | 300      
4       | 0.98      | 0.94      | 0.96      | 330      
5       | 0.91      | 0.76      | 0.82      | 80       
6       | 1.00      | 0.85      | 0.91      | 60       
7       | 1.00      | 0.96      | 0.98      | 130      
8       | 0.00      | 0.00      | 0.00      | 20       
9       | 0.91      | 0.97      | 0.94      | 730      
10      | 0.98      | 0.67      | 0.78      | 70       
11      | 1.00      | 1.00      | 1.00      | 190      
12      | 0.81      | 0.83      | 0.82      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.90      | 0.99      | 0.94      | 740      
15      | 0.93      | 0.98      | 0.95      | 410      
16      | 0.98      | 0.97      | 0.97      | 440      
17      | 0.98      | 0.69      | 0.80      | 70       
18      | 0.94      | 0.97      | 0.95      | 250      
19      | 0.84      | 0.60      | 0.68      | 40       
20      | 0.95      | 0.97      | 0.96      | 160      
21      | 0.95      | 0.89      | 0.92      | 170      
22      | 0.97      | 0.80      | 0.87      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 1.00      | 1.00      | 1.00      | 100      
